D3.TRANSACCION,CANAL_ATENCION,CAUSA,DESCRIPCION,MOTIVO,MUNICIPIO,D0.SERVICIO,D2.PUNTO DE CONTACTO,,D5.LOCALIDAD,P3.ASPECTOS QUE LO SORPRENDIERON O QUE LE MOLESTARON,INCIDENTE CRITICO
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,QUE LA MUCHACHA ME DIO LA INFORMACION BIEN ME DIO LA INFORMACION CORRECTA PORQUE ELLA ME EXPLICO TODO SOBRE LO QUE ERA EL MEDIDOR SI LA FUGA ERA HACIA ADENTRO DE QUÉ FORMA ME COBRABAN DE QUE LA FUGA ERA DEL TUBO HACIA DENTRO O DEL TUBO HACIA AFUERA/NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,PLAZO PARA PAGO,En calidad de inquilina se acerca solicitando pago parcial de factura de los servicios.,_,ENVIGADO,Acueducto,Oficina de atención,,Metropolitana,LA ATENCIÓN DE LA PERSONA QUE ME ATENDIÓ EL INTERÉS PARA QUE UNO ENTIENDA TODO EL PROCESO,INCIDENTES POSITIVOS
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,"Usuario en calidad de inquilino reclama por los valores facturados por el producto del gas en el mes de abril, no se dejan valores en reclamaci?n porque no hay desviaci?n significativa y los consumos son inferiores a los consumos promedios de los ?ltimos",_,BELLO,Gas,Oficina de atención,,Metropolitana,"EL SERVICIO FUE BUENO YA QUE FUERON MUY EFICIENTES EN LA ATENCIÓN, PORQUE SOLUCIONAR LA INQUIETUD Y LAS INCÓGNITAS QUE TENÍA. NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,Usuario en calidad de propietario del inmueble solicita la financiaci?n de la factura  de Marzo,_,ENVIGADO,Gas,Oficina de atención,,Metropolitana,"EN GENERAL LA ATENCIÓN DEL ASESOR SI FUE MUY BUENA, LOS ASESORES SON SUPER BIEN SI NO QUE ES COMO LA CAPACIDAD DE PERSONAL .PARA EL PROCESO FUI DOS VECES A LA OFICINA Y PUES EN LA PRIMERA OCASIÓN SI FUE UN POCO DESAGRADABLE PORQUE HABÍA MUY POCOS ASESORES QUE ATENDIERAN Y EL TIEMPO DE ATENCIÓN ES MUY DEMORADO, PERO BÁSICAMENTE ES ESO.",INCIDENTES POSITIVOS
Peticiones Gas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuario en calidad de inquilina solicita informaci?n para hacer financiaci?n de la cuenta del mes de marzo.,_,MEDELLIN,Gas,Oficina de atención,,Metropolitana,QUE LA NIÑA CUANDO ME ATENDIÓ NO TENÍA BUENA ACTITUD HAY PERSONAS QUE DAN SOLUCIÓN Y ATIENDEN CON DISPOSICIÓN Y ELLA NO PORQUE NO ME DABA SOLUCIÓN  Y NO ME ATENDÍA CON AMABILIDAD (NO DA MÁS INFORMACION),INCIDENTES NEGATIVOS
Daños Energía,_,_,_,_,TARAZA,Energía,Línea de atención,,Regional,-,EXPERIENCIA NORMAL
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,ME GUSTO LA FORMA COMO ATIENDEN LOS MUCHACHOS CUANDO UNO LLAMA EN CUANTO A QUE SON DECENTES EN SU ATENCIÓN ( NO DA MÁS INFORMACION (,INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"QUE ME DIJERON EL PROBLEMA QUE TENÍA Y LO QUE ME PODÍA CON LLEVAR CON ESO ES DECIR QUE LOS SERVICIOS PÚBLICOS A GAS TIENEN UNO QUE TENER MUCHO CUIDADO, PORQUE PUEDEN SER UN FACTOR QUE LO AFECTE A UNO MIENTRAS DUERME. SE INDAGA NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Quejas aguas (incluido prepago),TELEFONICO,INCONFORMIDAD PUNTO DE VENTA YO RECAUDO,"Nombre:Marly Moreno Quejada
CC:35602193
Tel?fono:5035099 - 3113500928
Dir: CR 92 E CL 85 -45
Autoriza SMS: No
Id:00001101521553952653
N?mero del medidor:HOLLEY_LXSIC_2016019440 
N?mero de la tarjeta:3999347970
Usuario manifiesta que realiz? recarga de agua prepago el d?a 29 de Marzo en el punto de venta Gana por valor de $10.000 , coloca la tarjeta en el medidor y le registra 00 m3, las llaves se encuentran abiertas, y la recarga se visualiza en el sistema.jmetautp",_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"PUES PORQUE ELLOS ME ATENDIERON Y ME DIERON LA EXPLICACIÓN SATISFACTORIA, ES DECIR ME DIERON SOLUCIÓN AL PROBLEMA QUE YO ESTABA SOLICITANDO FUERON MUY PUNTUALES Y COLABORADORES, NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Financiaciones,ASESOR EN LINEA,GESTIONAR FINANCIACION,"Usuaria solicita reestructurar deuda, presenta predial, factura y c?dula original.",_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Energía,_,_,_,_,GUARNE,Energía,Línea de atención,,Regional,LA ATENCIÓN DEL ASESOR QUE ME ATENDIÓ EN CUANTO A QUE LE DABAN A UNO LAS INDICACIONES DEL PROBLEMA DE LO QUE ESTABA PASANDO TRATARON DE SER CLARO CON LO QUE PASABA,INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,PETICIONES TECNICAS,"cliente propietario solicita traslado de acometida de agua potable del medidor debido a que se encuentra en un garaje y se dificulta la lectura, anexa predial y cedula// tel contacto 3128259215 -2350781. Favor llamar al cliente con una hora de anticipaci?",_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,LO QUE NO ME GUSTO ES QUE TOMARON MI SOLICITUD Y QUEDARON DE VENIR Y NUNCA ME AVISARON CUANDO ERA LA VISITA SOLO ME LLAMARON CUANDO YA ESTABAN AHI Y YO ESTABA LEJOS QUE TAMPOCO ME ESPERABAN ME TOCO REPROGRAMAR LA VISITA,INCIDENTES NEGATIVOS
Daños Agua Prepago,_,_,_,_,BELLO,Acueducto,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,usuario en calidad de hijo de propietaria solicita realizar acuerdo de pago,_,TURBO,Energía,Oficina de atención,,Regional,ME ATENDIERON MUY BIEN DE IGUAL FORMA LA MUCHACHA ME INFORMO   Y LO QUE ME GUSTO ES QUE ME DIJO QUE TENÍA UNA POSIBILIDAD MÁS SOBRE LA FINANCIACIÓN Y ME PARECIÓ BIEN POR ESE LADO ES MUY AGRADABLE ADICIONAL ME SORPRENDIÓ A LA VEZ PORQUE YO LLEVABA ERA OTRA INFORMACIÓN ENTONCES CUANDO ELLA ME DIJO ASÍ ME COGIÓ DE SORPRESA Y FUE MUCHO MEJOR.,INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,LA ATENCIÓN DE LA ASESORA ME EXPLICO EL PROCESO PARA PODER REALIZAR LA ACTIVACIÓN DEL SERVICIO. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,GUARNE,Energía,Línea de atención,,Regional,-,EXPERIENCIA NORMAL
Peticiones Gas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Solicitante reclama respuesta a radicado 20190120060159,_,BELLO,Gas,Oficina de atención,,Metropolitana,POR QUÉ NO ME SOLUCIONARON EL REQUERIMIENTO EL CUAL YO NECESITABA QUE POR QUE MI RESIDENCIA NO ESTABA HABITUADA PARA ESE SERVICIO (NO DA MÁS INFORMACION),INCIDENTES NEGATIVOS
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,QUE ME ATENDIERON BIEN EN QUE ME PRESTARON LA ATENCIÓN A LA INQUIETUD QUE YO TENÍA/NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuario solicita explicaci?n de la factura.,_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,LA ATENCIÓN QUE SI NO ES AHÍ ME DIRIGEN A LA PARTE QUE ES Y DAN LA INFORMACION PRECISA Y COMPLETA. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,LA FORMA COMO LO TIENDEN A UNO PORQUE SON MUY AMABLES CON UNO E INMEDIATAMENTE ME MANDARON A HACER EL ARREGLO.,INCIDENTES POSITIVOS
Quejas aguas (incluido prepago),TELEFONICO,INCONFORMIDAD TRABAJOS,"Nombre: GLADIS HERNANDEZ
Cc: 32516894
Tel: 3513466/3113648707
Dir: CL 31 CR 65 C -17 (INTERIOR 307 )  
Autoriza SMS: SI
Id: 00001129731554138058
Se?ora GLADIS HERNANDEZ con solicitud hidro 2765130 por Obsolescencia Tecnol?gica Medidor  el d?a 28/03/2019, usuaria asegura que despu?s del cambio quedo con fuga, indica que el agua llega hasta la loza del primer piso, favor validar y brindar atenci?n.",_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"NO PUES PORQUE ME ATENDIERON LA LLAMADA EN EL SENTIDO DE QUE ELLOS ME DIJERON QUE PARA SOLUCIONAR O ARREGLAR EL DAÑO, SE IBAN A TOMAR MUCHO TIEMPO, PERO RESULTA QUE FUERAN AL SIGUIENTE DÍA Y REALIZARON EL DEBIDO ARREGLO ES MÁS QUE TODO POR ESO, NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,SEPARACION TEMPORAL O PAGO DIRIGIDO,"Separaci?n temporal o pago dirigido  de agua, saneamiento y otras entidades contrato: 1057078 por valor $  193,508.",_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,LA ATENCIÓN Y LA FORMA DE COMO LE DICEN A UNO COMO HACER LA SOLICITUD TODO A BENEFICIO DE UNO,INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,LA RAPIDEZ  Y LA SOLUCIÓN QUE LE DAN A UNO PARA GENERAR EL REPORTE. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,Se presenta usuaria en calidad de propietaria presentando reclamo por el consumo recuperado de 22m3 del mes de noviembre que estaba en investigaci?n facturados en marzo.,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,"LA ATENCIÓN EN CUANTO A LA BUENA EXPLICACIÓN Y AL TIEMPO QUE DEDICARON, RESOLVIERON LA SOLICITUD POR LA QUE YO IBA, LA FORMA DE ATENDER FUE AMABLE.",INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,"Cliente en calidad de suscriptora del servicio solicita financiar la factura del mes de marzo, para lo cual presenta factura y cedula.",_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,"ME GUSTÓ MUCHO PORQUE YO PENSÉ QUE NO PODÍA ACCEDER A LA FINANCIACIÓN, Y SI PUDE HACER LA VUELTA Y SI ME PUDIERON COLABORAR EN CUANTO A ESO.",INCIDENTES POSITIVOS
Peticiones Gas Oficinas (resuelto),_,_,_,_,_,Gas,Oficina de atención,,Regional,-,EXPERIENCIA NORMAL
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,"Usuaria en calidad de hija del suscriptor, solicita informaci?n sobre c?mo utilizar el servicio de Impresi?n de cup?n de pago.",_,GUARNE,Energía,Oficina de atención,,Regional,"LA ATENCIÓN FUE BUENA, CUANDO YO FUI A LO DE LA LUZ ME INDICARON BIEN PORQUE YO NO SABÍA MANEJAR UNA MÁQUINA Y LA SEÑORA MUY QUERIDA ME AYUDO, MUY FORMALES, NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,ENVIGADO,Energía,Línea de atención,,Metropolitana,LA ATENCIÓN DEL ASESOR QUE ME ATENDIÓ ME ESCUCHO TOMO LOS DATOS QUE UNO LE ESTABA DICIENDO. / NO DA MÁS INFORMACIÓN,INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,En calidad de propietario solicita financiar deuda de servicios de energ?a debido a que actualmente presenta un saldo pendiente de pago por valor de $349.454 para lo cual presento  cedula  factura de energ?a,_,GUARNE,Energía,Oficina de atención,,Regional,-,EXPERIENCIA NORMAL
Daños Energía,_,_,_,_,ARBOLETES,Energía,Línea de atención,,Regional,-,EXPERIENCIA NORMAL
Quejas Gas,TELEFONICO,SUSPENSION O CORTE DEL SERVICIO,"Nombre: EULISES   MORENO
Cc: 71971316
Tel: 3135451013
Dir:  RURAL_190665100290600000_MANZANA 2  LOTE 2
Autoriza SMS: SI 
Id 00001129721553891713
Usuario solicita conexi?n del servicio de gas  asegura que si le suspendieron, se verifica en sco  con obs   usuario cancelo fecha 15.02.2019 por gana. la operaci?n no se realizo  favor validar.",_,SAN PEDRO DE URABA,Gas,Línea de atención,,Regional,LA ATENCIÓN DE LA ERA  QUE ME ATENDIÓ EN LÍNEA ME DIJO QUE DEBERÍAMOS ESPERAR A QUE SE RESTABLECIERA EL SERVICIO YA QUE HABÍA SIDO SUSPENDIDO POR UN ERROR EN LA FACTURA FUE AMABLE EN LA ATENCIÓN,INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,ITAGUI,Acueducto,Línea de atención,,Metropolitana,ME GUSTO LA BUENA ATENCIÓN QUE ME BRINDARON EN CUANTO A QUE LA INFORMACION DE LAS VARIAS PERSONAS QUE ME ATENDIERON FUE RÁPIDA Y NO ME DEJARON EN LA LÍNEA TANTO TIEMPO ( NO DA MÁS INFORMACION ),INCIDENTES POSITIVOS
Daños Acueducto,_,_,_,_,_,Acueducto,Línea de atención,,Metropolitana,_,_
Daños Gas,_,_,_,_,_,Gas,Línea de atención,,Metropolitana,"QUE ME CONTESTARON MUY RÁPIDO Y MUY BIEN, PERO ME DIJERON QUE NO ESTÉN LOS NIÑOS Y QUE NADIE FUME AL LADO, PERO SI NO SE SABÍA DÓNDE ERA COMO ÍBAMOS A ALEJAR A LOS NIÑOS. SE INDAGA NO DA MÁS INFORMACION.",INCIDENTES POSITIVOS
Quejas aguas (incluido prepago),TELEFONICO,INCONFORMIDAD CON EL CANAL DE ATENCION,"NOMBRE: BEATRIS EUGENIA BARRERA
CC: 43806922
CEL: 4721046 / 3117573737
DIRECCI?N: CR 64 A CL 103 -46 (INTERIOR 202 )
CONTRATO: 249457
ID: 00001053591554397660
AUTORIZA SMS: SI
Usuaria indica que se ha presentado en dos ocasiones en la Oficina de Castilla y la ha atendido la misma funcionaria que esta ubicada en la taquilla # 3 la ultima vez el d?a 04/04/2019 y que dicha funcionaria la ha tratado de manera displicente y que le ha hablado de manera grosera, que no le explico, ni le resolvi? sus dudas, (usuaria considera que le cayo mal a la funcionaria porque con los dem?s usuarios era amable), se siente muy inconforme por la tenci?n que le ha brindado esta se?ora en varias ocasiones y por su falta de paciencia.",_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"PUES PRIMERO YO FUI A LA OFICINA DE CASTILLA PARA QUE ME SOLUCIONARAN EL PROBLEMA ENTONCES PUES ME TOCO LLAMAR Y LA CHICA ME ATENDIÓ OPORTUNAMENTE ME DIO LA SOLUCIÓN AL PROBLEMA FUE MUY AMABLES LO QUE NO PUEDO HACER LA CHICA DE LA OFICINA DE CASTILLA ENTONCES ME AGRADO MUCHO ESA EXPERIENCIA, NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,rn 27,_,MEDELLIN,Gas,Oficina de atención,,Metropolitana,LA ATENCIÓN EN CUANDO EL SERVICIO QUE ELLOS ME BRINDARON EN LA OFICINA SE INDAGA Y NO DA MÁS INFORMACIÓN.,INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,SEPARACION TEMPORAL O PAGO DIRIGIDO,El usuario solicita separaci?n,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,UNO TIENE QUE ESPERAR MUCHO  PARA EL SERVICIO,INCIDENTES NEGATIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INSCRIPCION PAGA A TU MEDIDA,Se informa del programa PAGA A TU MEDIDA,_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,LA BUENA ATENCIÓN QUE TIENEN EN LA EMPRESA CON LOS CLIENTES. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,BARBOSA,Energía,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas Gas,TELEFONICO,INCUMPLIMIENTO DE LA REVISION EN LAS FECHAS ESTABLECIDAS,"Sr. Jhon Alexander Toro Ocampo, Cc. 1114059073, cel. 3136487376, direcci?n CR 50 A CL 76 SUR -169 (INTERIOR 818 )
Requerimiento 780006 para atender revisi?n peri?dica, programada para el d?a 04/04/2019 en jornada de la ma?ana. Usuario manifiesta que el personal no se presento, incumpliendo as? con la visita. Solicita se verifique el motivo y que le brinden una soluci?n. Favor revisar. ID.: 00001114201554400511",_,ITAGUI,Gas,Línea de atención,,Metropolitana,DIERON PRONTA SOLUCIÓN ESE MISMO DÍA ME ATENDIERON EN LA TARDE EL SERVICIO,INCIDENTES POSITIVOS
Peticiones Gas Oficinas (resuelto),PRESENCIAL,INSCRIPCION PAGA A TU MEDIDA,El usuario solicita inscripci?n a paga a tu medida,_,MUTATA,Gas,Oficina de atención,,Regional,-,EXPERIENCIA NORMAL
Reclamaciones Presencial (resuelto/Final),_,_,_,_,_,Energía,Oficina de atención,,Regional,"LA PERSONA QUE ME ATENDIÓ FUE AGRADABLE Y RESPETUOSA, Y FUE RÁPIDA EN LA PRESTACIÓN DE SERVICIO. NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Quejas Energía (incluido prepago),TELEFONICO,NO CONEXION DEL SERVICIO,"FREDY GALLO
CC 70110000 
ID-00001130831554306859
CONTACTOS: 3127574091
AUTORIZA SMS: SI
ALEDA?A 190030200506520000
Con pedido 20924163 del 2018-10-02 se solicito HV de energia, el usuario dice que ya se hizo la visita en febrero que le habian anunciado en la respuesta de la PQR-5337538, pero se revisa el pedido y no hay informacion de la visita.",_,AMAGA,Energía,Línea de atención,,Regional,PORQUE NO ME BRINDARON RESPUESTA Y ESO ES QUE SE BURLEN DE UNO. NO DA MÁS INFORMACION,INCIDENTES NEGATIVOS
Daños Energía Prepago,_,_,_,_,BELLO,Energía,Línea de atención,,Metropolitana,_,_
Daños Energía,_,_,_,_,_,Energía,Línea de atención,,Metropolitana,_,_
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,NO ME GUSTO PORQUE NO ME COLABORARON NO HICIERON LO POSIBLE POR COLABORARME CON LO DEL AGUA/NO DA MÁS INFORMACION,INCIDENTES NEGATIVOS
Daños Gas,_,_,_,_,ENVIGADO,Gas,Línea de atención,,Metropolitana,"QUE ME ATENDIERON INMEDIATAMENTE, TOMARON NOTA Y LUEGO SI LLEGARON A REVISAR EL APARATO QUE TENÍAN QUE CAMBIAR POR UNA FUGA . SE INDAGA NO DA MÁS INFORMACION.",INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,LA ATENCIÓN DEL ASESOR EN CUANTO A QUE FUE UNA PERSONA MUY AMABLE Y MUY ATENTO A LO QUE LE INDICABA,INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,QUE ME COMUNIQUÉ Y FUI MUY BIEN ATENDIDA EN CUANTO A QUE NO SE DEMORARON MUCHO PARA BRINDARME UNA SOLUCIÓN AL PROBLEMA. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,Solicita liquidar deuda financiada de contado,_,MEDELLIN,Gas,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Pedidos Aguas - Estado en proceso,_,_,_,_,MEDELLIN,Acueducto,Vinculación al Servicio,,Metropolitana,TODO FUE MUY DILIGENTE EN CUANTO A QUE FUE RÁPIDO  PARA QUE VINIERAN A  HACER LA INSTALACIÓN,INCIDENTES POSITIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuario solicita informaci?n sobre los consumos en investigaci?n,_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,EL SERVICIO AL CLIENTE ME SACÓ DE TODAS LAS DUDAS QUE TENIA DE UNA FORMA AMABLE. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,Usuaria en calidad de suscriptora solicita financiar servicios contrato 324990 valor $ 438.084,_,ITAGUI,Acueducto,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Pedidos Aguas - Estado en proceso,_,_,_,_,MEDELLIN,Acueducto,Vinculación al Servicio,,Metropolitana,LO QUE MÁS ME GUSTO FUE QUE ME HICIERON LA INSTALACIÓN DEL SERVICIO   RÁPIDO / NO DA MÁS INFORMACIÓN,INCIDENTES POSITIVOS
Pedidos Aguas - Estado completado,_,_,_,_,MEDELLIN,Acueducto,Vinculación al Servicio,,Metropolitana,LA ATENCIÓN PORQUE EL QUE VINO A HACER LA SOLICITUD FUE MUY FORMAL Y AMABLE ADEMÁS QUE HICIERON TODO MUY BIEN PORQUE QUEDO TODO MUY BIEN. SE INDAGA NO DA MÁS INFORMACION.,INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Financiaciones,ASESOR EN LINEA,GESTIONAR FINANCIACION,"Usuaria en calidad de suscriptora, solicita realizar financiaci?n sobre la deuda actual. Presenta c?dula original.",_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,"PORQUE ME AGILIZARON MUY RÁPIDO LA INQUIETUD Y ME ATENDIERON SUPER BIEN, FUE SUPER ÁGIL PORQUE NO ME HICIERON ESPERAR MUCHO Y  ME AGILIZARON Y  PUES YO QUEDE MUY SATISFECHA CON LA INFORMACIÓN QUE ELLOS ME BRINDARON, ESTUVO MUY BIEN LA ATENCIÓN QUE ME BRINDARON ALLÁ Y PUES SI ME PRESENTARA OTRA DIFICULTAD O DIGAMOS ALGO QUE YO DESCONOZCA DE INMEDIATO ACUDO A USTEDES ALLÁ PORQUE EL SERVICIO ES SUPER BIEN, Y LE AGILIZAN A UNO LAS SOLICITUDES.",INCIDENTES POSITIVOS
Pedidos Aguas - Estado en proceso,_,_,_,_,BELLO,Acueducto,Vinculación al Servicio,,Metropolitana,-,EXPERIENCIA NORMAL
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Cliente en calidad de usuario solicita explicaci?n de valores facturados por financiaci?n de servicios Contrato 12138396,_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,"MUY BUENA LA ATENCIÓN LA FORMALIDAD COMO ME TRATARON, SE INSISTE Y NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Quejas aguas (incluido prepago),TELEFONICO,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,"Nombre: VIVIANA BETANCUR
Cc: 43918735
Tel: 3117737741
Dir: CL 56 B CR 67 B -14 (INTERIOR 202 )
Autoriza SMS: Si
Id: 00001006711554755252
Contrato 11474837 ciclo 1 Cliente inconforme porque no le llego la factura, esta es la 2da vez que sucede, favor validar pues no se encuentra inscrito en factura web, y no presenta observaci?n por parte del personal.",_,BELLO,Acueducto,Línea de atención,,Metropolitana,"PUES PORQUE ELLOS NUNCA DAN SOLUCIÓN DE NADA Y SIEMPRE LE DICEN A UNO QUE ESO ES LO QUE UNO CONSUME, PORQUE CUANDO LLAME ME DIJERON EL CONTADOR ESTABA BIEN QUE NO HABÍA NINGÚN PROBLEMA Y QUE ESO ES LO QUE UNO CONSUME ES LA ÚNICA RESPUESTA ENTONCES SIEMPRE ME MOLESTE CON ESE TEMA, NO DA MÁS INFORMACIÓN.",INCIDENTES NEGATIVOS
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"LA NIÑA FUE AMABLE, FUE RESPETUOSA ATENDIÓ MI SOLICITUD ME DIO EL NÚMERO DE RADICADO DE QUE ME COLABORARAN PARA ENVIAR EL FACTOR PORQUE TENGO UNA ALCANTARILLA TAQUEADA/NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Pedidos Aguas - Estado en proceso,_,_,_,_,MEDELLIN,Acueducto,Vinculación al Servicio,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,LA PERSONA QUE ME ATENDIÓ FUE MUY CORDIAL SON CONSIDERADOS ANTE LAS NECESIDADES DE LOS USUARIOS Y LE DAN A UNO VARIAS OPCIONES PARA SOLUCIONAR EL INCONVENIENTE Y SI NO SE PUEDE ENVÍAN PERSONAL PARA HACER LA REVISIÓN ( NO DA MÁS INFORMACION ),INCIDENTES POSITIVOS
Pedidos Gas - Estado en proceso,_,_,_,_,MEDELLIN,Gas,Vinculación al Servicio,,Metropolitana,"QUE TODO SE DIO MUY FÁCIL EN LA INSTALACIÓN YA QUE NO SE PRESENTÓ NINGÚN INCONVENIENTE A PESAR DE SER PARA UN 3 Y 4 PISO, PENSÉ QUE POR SER EL EDIFICIO SE IBA A DIFICULTAR EN CUANTO A LA TUBERÍA, PERO TODO EL PROCESO SE REALIZÓ MUY FÁCIL. NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,"En calidad de hija de suscriptora, presenta predial vigente, cedulas y documento de parentesco solicita financiar factura contrato 290403  $ 232800",_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,LA ATENCIÓN DE LA SEÑORA ENCARGADA ÓSEA LA AMABILIDAD DE ELLA. SE INDAGA Y SE ORIENTA Y NO DA MÁS INFORMACIÓN.,INCIDENTES POSITIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuario solicita informaci?n para el tr?mite de legalizaci?n de medidor particular de energ?a,_,SOPETRAN,Energía,Oficina de atención,,Regional,LO ATIENDEN BIEN Y DE TODAS MANERAS ME APROBARON LO QUE YO ESTABA PIDIENDO. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Cliente en calidad de usuario solicita explicaci?n de los valores  en la factura.,_,ENVIGADO,Acueducto,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
